Date,Open,High,Low,Close,Adj Close,Volume
1995-02-24,790.799988,791.799988,787.119995,791.080017,791.080017,318540000
1995-02-27,789.549988,790.809998,783.729980,784.500000,784.500000,272260000
1995-02-28,785.530029,794.010010,784.719971,793.729980,793.729980,323350000
1995-03-01,794.330017,795.289978,791.869995,791.869995,791.869995,336510000
1995-03-02,792.400024,793.690002,790.719971,793.679993,793.679993,297340000
1995-03-03,793.210022,798.799988,792.229980,798.789978,798.789978,313590000
1995-03-06,796.530029,797.789978,791.700012,797.770020,797.770020,265110000
1995-03-07,797.869995,798.309998,790.349976,791.330017,791.330017,336760000
1995-03-08,793.049988,795.809998,791.510010,795.809998,795.809998,313150000
1995-03-09,796.479980,797.929993,793.320007,796.239990,796.239990,319470000
1995-03-10,795.960022,802.219971,795.780029,802.219971,802.219971,330320000
1995-03-13,802.219971,804.619995,801.369995,802.309998,802.309998,281070000
1995-03-14,804.460022,809.179993,804.460022,808.239990,808.239990,347170000
1995-03-15,807.979980,808.690002,804.840027,807.380005,807.380005,335510000
1995-03-16,807.179993,809.590027,806.799988,809.340027,809.340027,340150000
1995-03-17,811.030029,811.229980,807.340027,808.330017,808.330017,315350000
1995-03-20,808.349976,810.659973,807.400024,810.489990,810.489990,277410000
1995-03-21,811.059998,814.210022,808.880005,809.780029,809.780029,336150000
1995-03-22,808.650024,809.429993,806.700012,809.099976,809.099976,315140000
1995-03-23,809.299988,813.330017,808.900024,811.390015,811.390015,350790000
1995-03-24,812.960022,818.669983,812.869995,818.659973,818.659973,402890000
1995-03-27,817.880005,822.659973,817.289978,822.630005,822.630005,315230000
1995-03-28,822.909973,826.169983,821.570007,826.140015,826.140015,350240000
1995-03-29,826.099976,829.919983,817.239990,819.159973,819.159973,410380000
1995-03-30,820.650024,822.239990,811.229980,816.859985,816.859985,363320000
1995-03-31,813.239990,817.229980,806.500000,817.210022,817.210022,347850000
1995-04-03,816.059998,818.280029,812.250000,818.049988,818.049988,273920000
1995-04-04,817.059998,820.479980,813.580017,813.719971,813.719971,365640000
1995-04-05,813.679993,816.320007,810.890015,816.320007,816.320007,348890000
1995-04-06,816.929993,818.159973,813.520020,813.799988,813.799988,348320000
1995-04-07,814.840027,816.190002,811.559998,814.690002,814.690002,331460000
1995-04-10,814.440002,821.359985,813.900024,821.260010,821.260010,300920000
1995-04-11,824.119995,825.739990,821.690002,824.830017,824.830017,355650000
1995-04-12,825.489990,828.559998,823.690002,828.530029,828.530029,345180000
1995-04-13,829.059998,832.900024,828.859985,832.640015,832.640015,359830000
1995-04-17,835.150024,839.500000,829.909973,830.820007,830.820007,366500000
1995-04-18,833.369995,834.450012,825.010010,825.739990,825.739990,377080000
1995-04-19,825.070007,825.229980,812.750000,816.549988,816.549988,453960000
1995-04-20,817.890015,819.099976,813.950012,819.010010,819.010010,408860000
1995-04-21,821.390015,823.669983,820.429993,823.440002,823.440002,394510000
1995-04-24,823.250000,829.479980,821.530029,828.909973,828.909973,318700000
1995-04-25,829.619995,832.070007,828.690002,831.280029,831.280029,375490000
1995-04-26,830.469971,836.909973,829.169983,836.909973,836.909973,392410000
1995-04-27,837.150024,842.619995,837.150024,840.950012,840.950012,417550000
1995-04-28,841.659973,844.419983,837.450012,843.979980,843.979980,375830000
1995-05-01,844.719971,846.419983,841.630005,841.630005,841.630005,315660000
